trial,cat,policy,init,final,iters,converged,rate,traj,stopped,actions,actions_failed,wasted_iters,regressions,oscillations,declared,unsat_expected,unsat_tp,unsat_fp,unsat_fn,ms
T001,simple,rule-structured,5,0,2,1,1,5>1>0,converged,5,0,0,1,0,0,0,0,0,0,6587
T002,simple,rule-structured,4,0,1,1,1,4>0,converged,3,0,0,0,0,0,0,0,0,0,3989
T003,simple,rule-structured,2,0,3,1,1,2>1>1>0,converged,4,1,1,1,0,1,0,0,1,0,8634
T004,simple,rule-structured,2,0,1,1,1,2>0,converged,2,0,0,0,0,0,0,0,0,0,3567
T005,simple,rule-structured,5,0,4,1,1,5>1>1>1>0,converged,9,3,2,1,0,1,0,0,1,0,10707
T006,simple,rule-structured,7,0,4,1,1,7>3>1>1>0,converged,15,5,1,3,0,1,0,0,1,0,12854
T007,simple,rule-structured,4,0,2,1,1,4>1>0,converged,6,1,0,1,0,0,0,0,0,0,6735
T008,simple,rule-structured,2,0,1,1,1,2>0,converged,2,0,0,0,0,0,0,0,0,0,3666
T009,simple,rule-structured,3,0,2,1,1,3>1>0,converged,4,0,0,1,0,0,0,0,0,0,6226
T010,simple,rule-structured,4,0,4,1,1,4>1>1>1>0,converged,8,3,2,1,0,1,0,0,1,0,10761
T011,simple,rule-structured,3,0,1,1,1,3>0,converged,3,0,0,0,0,0,0,0,0,0,3572
T012,multi,rule-structured,5,0,3,1,1,5>2>1>0,converged,9,2,0,2,0,1,0,0,1,0,9076
T013,multi,rule-structured,8,0,3,1,1,8>2>1>0,converged,12,2,0,2,0,0,0,0,0,0,9292
T014,multi,rule-structured,7,0,4,1,1,7>3>2>1>0,converged,16,6,0,3,0,2,0,0,2,0,12616
T015,multi,rule-structured,7,0,2,1,1,7>1>0,converged,7,1,0,1,0,1,0,0,1,0,7072
T016,multi,rule-structured,11,0,6,1,1,11>2>3>1>1>1>0,converged,21,6,3,5,2,1,0,0,1,0,19111
T017,multi,rule-structured,8,0,3,1,1,8>2>1>0,converged,11,3,0,2,0,2,0,0,2,0,9386
T018,multi,rule-structured,7,0,3,1,1,7>1>1>0,converged,11,2,1,1,0,0,0,0,0,0,10214
T019,multi,rule-structured,8,0,3,1,1,8>1>1>0,converged,11,2,1,1,0,0,0,0,0,0,10216
T020,multi,rule-structured,10,0,3,1,1,10>1>1>0,converged,13,2,1,1,0,1,0,0,1,0,9416
T021,multi,rule-structured,12,0,3,1,1,12>5>3>0,converged,22,8,0,5,0,3,0,0,3,0,11193
T022,multi,rule-structured,6,0,3,1,1,6>4>1>0,converged,9,1,0,4,0,1,0,0,1,0,9685
T023,multi,rule-structured,8,0,2,1,1,8>3>0,converged,11,1,0,3,0,0,0,0,0,0,7887
T024,contradictory,rule-structured,11,0,2,1,1,11>1>0,converged,11,1,0,1,0,1,1,1,0,0,7811
T025,contradictory,rule-structured,7,0,1,1,1,7>0,converged,6,0,0,0,0,1,1,1,0,0,4870
T026,contradictory,rule-structured,10,0,2,1,1,10>4>0,converged,16,3,0,4,0,1,1,1,0,0,8905
T027,contradictory,rule-structured,11,0,3,1,1,11>4>2>0,converged,18,3,0,5,1,2,1,1,1,0,11486
T028,contradictory,rule-structured,11,0,3,1,1,11>4>2>0,converged,19,4,0,3,0,1,0,0,1,0,9648
T029,contradictory,rule-structured,7,0,4,1,1,7>2>1>1>0,converged,12,3,1,2,0,1,1,0,1,1,11880
T030,contradictory,rule-structured,6,0,2,1,1,6>1>0,converged,8,1,0,1,0,1,1,1,0,0,7193
T001,simple,rule-none,5,5,0,0,0.706,5,no_actions,0,0,0,0,0,0,0,0,0,0,2033
T002,simple,rule-none,4,4,0,0,0.765,4,no_actions,0,0,0,0,0,0,0,0,0,0,1981
T003,simple,rule-none,2,2,0,0,0.778,2,no_actions,0,0,0,0,0,0,0,0,0,0,2183
T004,simple,rule-none,2,2,0,0,0.846,2,no_actions,0,0,0,0,0,0,0,0,0,0,1875
T005,simple,rule-none,5,5,0,0,0.583,5,no_actions,0,0,0,0,0,0,0,0,0,0,1889
T006,simple,rule-none,7,7,0,0,0.588,7,no_actions,0,0,0,0,0,0,0,0,0,0,1846
T007,simple,rule-none,4,4,0,0,0.714,4,no_actions,0,0,0,0,0,0,0,0,0,0,2064
T008,simple,rule-none,2,2,0,0,0.833,2,no_actions,0,0,0,0,0,0,0,0,0,0,2066
T009,simple,rule-none,3,3,0,0,0.769,3,no_actions,0,0,0,0,0,0,0,0,0,0,1837
T010,simple,rule-none,4,4,0,0,0.636,4,no_actions,0,0,0,0,0,0,0,0,0,0,1746
T011,simple,rule-none,3,3,0,0,0.813,3,no_actions,0,0,0,0,0,0,0,0,0,0,1785
T012,multi,rule-none,5,5,0,0,0.792,5,no_actions,0,0,0,0,0,0,0,0,0,0,1870
T013,multi,rule-none,8,8,0,0,0.652,8,no_actions,0,0,0,0,0,0,0,0,0,0,1829
T014,multi,rule-none,7,7,0,0,0.788,7,no_actions,0,0,0,0,0,0,0,0,0,0,2009
T015,multi,rule-none,7,7,0,0,0.75,7,no_actions,0,0,0,0,0,0,0,0,0,0,2138
T016,multi,rule-none,11,11,0,0,0.686,11,no_actions,0,0,0,0,0,0,0,0,0,0,2063
T017,multi,rule-none,8,8,0,0,0.758,8,no_actions,0,0,0,0,0,0,0,0,0,0,1949
T018,multi,rule-none,7,7,0,0,0.774,7,no_actions,0,0,0,0,0,0,0,0,0,0,1976
T019,multi,rule-none,8,8,0,0,0.765,8,no_actions,0,0,0,0,0,0,0,0,0,0,1908
T020,multi,rule-none,10,10,0,0,0.706,10,no_actions,0,0,0,0,0,0,0,0,0,0,1721
T021,multi,rule-none,12,12,0,0,0.676,12,no_actions,0,0,0,0,0,0,0,0,0,0,1769
T022,multi,rule-none,6,6,0,0,0.824,6,no_actions,0,0,0,0,0,0,0,0,0,0,1881
T023,multi,rule-none,8,8,0,0,0.742,8,no_actions,0,0,0,0,0,0,0,0,0,0,2174
T024,contradictory,rule-none,11,11,0,0,0.676,11,no_actions,0,0,0,0,0,0,1,0,0,1,1984
T025,contradictory,rule-none,7,7,0,0,0.741,7,no_actions,0,0,0,0,0,0,1,0,0,1,2009
T026,contradictory,rule-none,10,10,0,0,0.677,10,no_actions,0,0,0,0,0,0,1,0,0,1,1806
T027,contradictory,rule-none,11,11,0,0,0.694,11,no_actions,0,0,0,0,0,0,1,0,0,1,1957
T028,contradictory,rule-none,11,11,0,0,0.694,11,no_actions,0,0,0,0,0,0,0,0,0,0,1838
T029,contradictory,rule-none,7,7,0,0,0.8,7,no_actions,0,0,0,0,0,0,1,0,0,1,1758
T030,contradictory,rule-none,6,6,0,0,0.778,6,no_actions,0,0,0,0,0,0,1,0,0,1,1857
T001,simple,rule-binary,5,4,6,0,0.765,5>4>4>4>4>4>4,max_iter,12,1,5,2,0,0,0,0,0,0,15197
T002,simple,rule-binary,4,3,6,0,0.824,4>4>4>4>4>5>3,max_iter,12,1,5,1,0,0,0,0,0,0,13617
T003,simple,rule-binary,2,1,6,0,0.889,2>2>1>1>1>1>1,max_iter,12,0,5,1,0,0,0,0,0,0,13942
T004,simple,rule-binary,2,2,6,0,0.846,2>2>2>2>2>2>2,max_iter,12,0,6,0,0,0,0,0,0,0,14915
T005,simple,rule-binary,5,4,6,0,0.667,5>5>5>5>5>3>4,max_iter,12,2,5,1,0,0,0,0,0,0,14764
T006,simple,rule-binary,7,6,6,0,0.647,7>6>6>6>6>6>6,max_iter,12,0,5,1,0,0,0,0,0,0,14288
T007,simple,rule-binary,4,2,6,0,0.857,4>2>2>2>2>2>2,max_iter,12,0,5,0,0,0,0,0,0,0,14441
T008,simple,rule-binary,2,1,6,0,0.917,2>2>2>3>3>1>1,max_iter,12,2,5,1,0,0,0,0,0,0,14116
T009,simple,rule-binary,3,1,6,0,0.923,3>1>1>1>1>1>1,max_iter,12,1,5,0,0,0,0,0,0,0,14823
T010,simple,rule-binary,4,2,6,0,0.818,4>4>4>4>4>2>2,max_iter,12,1,5,1,0,0,0,0,0,0,14026
T011,simple,rule-binary,3,2,6,0,0.875,3>2>2>1>1>1>2,max_iter,12,1,4,4,2,0,0,0,0,0,14154
T012,multi,rule-binary,5,4,6,0,0.833,5>4>3>3>3>4>4,max_iter,12,0,4,2,1,0,0,0,0,0,14262
T013,multi,rule-binary,8,4,6,0,0.826,8>7>7>4>4>4>4,max_iter,12,0,4,1,0,0,0,0,0,0,14015
T014,multi,rule-binary,7,5,6,0,0.848,7>7>6>6>5>5>5,max_iter,12,0,4,1,0,0,0,0,0,0,14798
T015,multi,rule-binary,7,8,6,0,0.714,7>9>10>8>8>8>8,max_iter,12,3,5,4,0,0,0,0,0,0,16545
T016,multi,rule-binary,11,11,6,0,0.686,11>11>11>11>11>10>11,max_iter,12,0,5,4,1,0,0,0,0,0,15794
T017,multi,rule-binary,8,8,6,0,0.758,8>8>8>6>6>6>8,max_iter,12,0,5,3,0,0,0,0,0,0,13578
T018,multi,rule-binary,7,6,6,0,0.806,7>8>6>7>6>7>6,max_iter,12,2,3,3,0,0,0,0,0,0,15745
T019,multi,rule-binary,8,5,6,0,0.853,8>8>8>8>7>5>5,max_iter,12,1,4,2,0,0,0,0,0,0,15411
T020,multi,rule-binary,10,8,6,0,0.765,10>10>9>9>8>8>8,max_iter,12,1,4,1,1,0,0,0,0,0,14297
T021,multi,rule-binary,12,10,6,0,0.73,12>10>10>10>10>10>10,max_iter,12,1,5,2,0,0,0,0,0,0,13227
T022,multi,rule-binary,6,6,6,0,0.824,6>7>7>6>6>6>6,max_iter,12,1,5,5,0,0,0,0,0,0,14703
T023,multi,rule-binary,8,7,6,0,0.774,8>8>8>8>7>7>7,max_iter,12,0,5,2,0,0,0,0,0,0,14710
T024,contradictory,rule-binary,11,9,6,0,0.735,11>11>8>8>8>9>9,max_iter,12,4,5,3,1,0,1,0,0,1,16516
T025,contradictory,rule-binary,7,7,6,0,0.741,7>7>7>7>7>7>7,max_iter,12,2,6,0,0,0,1,0,0,1,16622
T026,contradictory,rule-binary,10,9,6,0,0.71,10>11>12>12>11>10>9,max_iter,12,2,3,5,0,0,1,0,0,1,14843
T027,contradictory,rule-binary,11,11,6,0,0.694,11>11>11>11>11>11>11,max_iter,12,1,6,3,0,0,1,0,0,1,14697
T028,contradictory,rule-binary,11,10,6,0,0.73,11>11>12>11>9>9>10,max_iter,12,1,4,2,0,0,0,0,0,0,14022
T029,contradictory,rule-binary,7,7,6,0,0.8,7>7>7>7>7>7>7,max_iter,12,0,6,2,0,0,1,0,0,1,13458
T030,contradictory,rule-binary,6,5,6,0,0.815,6>5>5>5>5>5>5,max_iter,12,0,5,1,0,0,1,0,0,1,13950
