trial,injection,expect,detected,base_clean,extra_codes
T001,naive_hydro,river_sink,1,1,few_rivers|req_unmet
T001,noise_climate,rain_shadow,0,1,
T001,flatten_range,mountain_weak,1,1,underwater
T001,raise_river_threshold,few_rivers,0,1,
T001,drown_settlement,underwater,1,1,wrong_region|req_unmet
T001,settlement_to_peak,steep,1,1,wrong_region|req_unmet
T001,exile_settlement,wrong_region,1,1,req_unmet
T002,naive_hydro,river_sink,1,1,few_rivers|req_unmet
T002,noise_climate,rain_shadow,0,1,
T002,flatten_range,mountain_weak,1,1,
T002,raise_river_threshold,few_rivers,0,1,req_unmet
T002,drown_settlement,underwater,1,1,wrong_region|req_unmet
T002,settlement_to_peak,steep,1,1,wrong_region|req_unmet
T002,exile_settlement,wrong_region,1,1,req_unmet
T003,naive_hydro,river_sink,1,0,few_rivers
T003,noise_climate,rain_shadow,0,0,
T003,flatten_range,mountain_weak,1,0,
T003,raise_river_threshold,few_rivers,0,0,
T003,settlement_to_peak,steep,1,0,wrong_region
T003,exile_settlement,wrong_region,1,0,
T004,naive_hydro,river_sink,1,1,few_rivers
T004,noise_climate,rain_shadow,0,1,
T004,flatten_range,mountain_weak,1,1,
T004,raise_river_threshold,few_rivers,0,1,
T004,drown_settlement,underwater,1,1,wrong_region
T004,settlement_to_peak,steep,1,1,
T004,exile_settlement,wrong_region,1,1,
T005,naive_hydro,river_sink,1,0,few_rivers|few_lakes|req_unmet
T005,noise_climate,rain_shadow,1,0,
T005,flatten_range,mountain_weak,1,0,req_unmet
T005,raise_river_threshold,few_rivers,0,0,req_unmet
T005,drown_settlement,underwater,1,0,req_unmet
T005,settlement_to_peak,steep,1,0,req_unmet
T005,exile_settlement,wrong_region,0,0,req_unmet
T006,naive_hydro,river_sink,1,0,few_rivers|req_unmet
T006,noise_climate,rain_shadow,1,0,
T006,flatten_range,mountain_weak,1,0,rain_shadow|req_unmet
T006,raise_river_threshold,few_rivers,0,0,
T006,drown_settlement,underwater,1,0,req_unmet
T006,settlement_to_peak,steep,1,0,req_unmet
T006,exile_settlement,wrong_region,0,0,req_unmet
T007,naive_hydro,river_sink,1,0,few_rivers|req_unmet
T007,noise_climate,rain_shadow,0,0,
T007,flatten_range,mountain_weak,1,0,underwater|req_unmet
T007,raise_river_threshold,few_rivers,0,0,
T007,drown_settlement,underwater,1,0,
T007,settlement_to_peak,steep,1,0,req_unmet
T007,exile_settlement,wrong_region,0,0,req_unmet
T008,naive_hydro,river_sink,1,1,few_rivers|req_unmet
T008,noise_climate,rain_shadow,1,1,
T008,flatten_range,mountain_weak,1,1,underwater
T008,raise_river_threshold,few_rivers,0,1,req_unmet
T008,drown_settlement,underwater,1,1,wrong_region|req_unmet
T008,settlement_to_peak,steep,1,1,wrong_region|req_unmet
T008,exile_settlement,wrong_region,1,1,req_unmet
T009,naive_hydro,river_sink,1,0,few_rivers|req_unmet
T009,noise_climate,rain_shadow,1,0,
T009,flatten_range,mountain_weak,1,0,rain_shadow|underwater|req_unmet
T009,raise_river_threshold,few_rivers,0,0,req_unmet
T009,drown_settlement,underwater,1,0,steep
T009,settlement_to_peak,steep,1,0,req_unmet
T009,exile_settlement,wrong_region,0,0,req_unmet
T010,naive_hydro,river_sink,1,0,few_rivers|req_unmet
T010,noise_climate,rain_shadow,1,0,
T010,flatten_range,mountain_weak,1,0,req_unmet
T010,raise_river_threshold,few_rivers,0,0,req_unmet
T010,settlement_to_peak,steep,1,0,req_unmet
T010,exile_settlement,wrong_region,0,0,req_unmet
